"","id","IdBundesland","Bundesland","Landkreis","Altersgruppe","Geschlecht","AnzahlFall","AnzahlTodesfall","ObjectId","Meldedatum","IdLandkreis"
"1",146936,-1,"-nicht erhoben-","-nicht erhoben-","A15-A34","W",1,0,146936,2020-03-20 01:00:00,"0-1"
"2",146937,-1,"-nicht erhoben-","-nicht erhoben-","A35-A59","M",1,0,146937,2020-03-19 01:00:00,"0-1"
"3",146938,1,"Schleswig-Holstein","SK Flensburg","A15-A34","M",1,0,146938,2020-03-14 01:00:00,"01001"
"4",146939,1,"Schleswig-Holstein","SK Flensburg","A15-A34","M",2,0,146939,2020-03-19 01:00:00,"01001"
"5",146940,1,"Schleswig-Holstein","SK Flensburg","A15-A34","W",1,0,146940,2020-03-14 01:00:00,"01001"
"6",146941,1,"Schleswig-Holstein","SK Flensburg","A15-A34","W",2,0,146941,2020-03-18 01:00:00,"01001"
"7",146942,1,"Schleswig-Holstein","SK Flensburg","A35-A59","M",1,0,146942,2020-03-14 01:00:00,"01001"
"8",146943,1,"Schleswig-Holstein","SK Flensburg","A35-A59","M",1,0,146943,2020-03-20 01:00:00,"01001"
"9",146944,1,"Schleswig-Holstein","SK Flensburg","A35-A59","W",1,0,146944,2020-03-14 01:00:00,"01001"
"10",146945,1,"Schleswig-Holstein","SK Flensburg","A35-A59","W",2,0,146945,2020-03-19 01:00:00,"01001"
"11",146946,1,"Schleswig-Holstein","SK Flensburg","A35-A59","W",1,0,146946,2020-03-20 01:00:00,"01001"
"12",146947,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,146947,2020-03-10 01:00:00,"01002"
"13",146948,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",2,0,146948,2020-03-11 01:00:00,"01002"
"14",146949,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,146949,2020-03-13 01:00:00,"01002"
"15",146950,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,146950,2020-03-14 01:00:00,"01002"
"16",146951,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,146951,2020-03-16 01:00:00,"01002"
"17",146952,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,146952,2020-03-18 01:00:00,"01002"
"18",146953,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,146953,2020-03-20 01:00:00,"01002"
"19",146954,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",1,0,146954,2020-03-10 01:00:00,"01002"
"20",146955,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",1,0,146955,2020-03-12 01:00:00,"01002"
"21",146956,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",3,0,146956,2020-03-16 01:00:00,"01002"
"22",146957,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",1,0,146957,2020-03-17 01:00:00,"01002"
"23",146958,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",2,0,146958,2020-03-18 01:00:00,"01002"
"24",146959,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",3,0,146959,2020-03-19 01:00:00,"01002"
"25",146960,1,"Schleswig-Holstein","SK Kiel","A35-A59","M",1,0,146960,2020-03-11 01:00:00,"01002"
"26",146961,1,"Schleswig-Holstein","SK Kiel","A35-A59","M",1,0,146961,2020-03-12 01:00:00,"01002"
"27",146962,1,"Schleswig-Holstein","SK Kiel","A35-A59","M",3,0,146962,2020-03-19 01:00:00,"01002"
"28",146963,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",1,0,146963,2020-03-10 01:00:00,"01002"
"29",146964,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",1,0,146964,2020-03-11 01:00:00,"01002"
"30",146965,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",2,0,146965,2020-03-12 01:00:00,"01002"
"31",146966,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",1,0,146966,2020-03-16 01:00:00,"01002"
"32",146967,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",1,0,146967,2020-03-17 01:00:00,"01002"
"33",146968,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",1,0,146968,2020-03-18 01:00:00,"01002"
"34",146969,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",2,0,146969,2020-03-19 01:00:00,"01002"
"35",146970,1,"Schleswig-Holstein","SK Kiel","A60-A79","M",1,0,146970,2020-03-19 01:00:00,"01002"
"36",146971,1,"Schleswig-Holstein","SK Kiel","A60-A79","M",1,0,146971,2020-03-20 01:00:00,"01002"
"37",146972,1,"Schleswig-Holstein","SK Kiel","A60-A79","W",1,0,146972,2020-03-18 01:00:00,"01002"
"38",146973,1,"Schleswig-Holstein","SK Lübeck","A15-A34","M",1,0,146973,2020-03-11 01:00:00,"01003"
"39",146974,1,"Schleswig-Holstein","SK Lübeck","A15-A34","M",1,0,146974,2020-03-18 01:00:00,"01003"
