"","id","IdBundesland","Bundesland","Landkreis","Altersgruppe","Geschlecht","AnzahlFall","AnzahlTodesfall","ObjectId","Meldedatum","IdLandkreis","Datenstand"
"1",163400,1,"Schleswig-Holstein","SK Flensburg","A15-A34","M",1,0,163400,2020-03-14 01:00:00,"01001","22.03.2020 00:00"
"2",163401,1,"Schleswig-Holstein","SK Flensburg","A15-A34","M",2,0,163401,2020-03-19 01:00:00,"01001","22.03.2020 00:00"
"3",163402,1,"Schleswig-Holstein","SK Flensburg","A15-A34","M",1,0,163402,2020-03-21 01:00:00,"01001","22.03.2020 00:00"
"4",163403,1,"Schleswig-Holstein","SK Flensburg","A15-A34","W",1,0,163403,2020-03-14 01:00:00,"01001","22.03.2020 00:00"
"5",163404,1,"Schleswig-Holstein","SK Flensburg","A15-A34","W",2,0,163404,2020-03-18 01:00:00,"01001","22.03.2020 00:00"
"6",163405,1,"Schleswig-Holstein","SK Flensburg","A35-A59","M",1,0,163405,2020-03-14 01:00:00,"01001","22.03.2020 00:00"
"7",163406,1,"Schleswig-Holstein","SK Flensburg","A35-A59","M",1,0,163406,2020-03-20 01:00:00,"01001","22.03.2020 00:00"
"8",163407,1,"Schleswig-Holstein","SK Flensburg","A35-A59","W",1,0,163407,2020-03-14 01:00:00,"01001","22.03.2020 00:00"
"9",163408,1,"Schleswig-Holstein","SK Flensburg","A35-A59","W",2,0,163408,2020-03-19 01:00:00,"01001","22.03.2020 00:00"
"10",163409,1,"Schleswig-Holstein","SK Flensburg","A35-A59","W",1,0,163409,2020-03-20 01:00:00,"01001","22.03.2020 00:00"
"11",163410,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,163410,2020-03-10 01:00:00,"01002","22.03.2020 00:00"
"12",163411,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",2,0,163411,2020-03-11 01:00:00,"01002","22.03.2020 00:00"
"13",163412,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,163412,2020-03-13 01:00:00,"01002","22.03.2020 00:00"
"14",163413,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,163413,2020-03-14 01:00:00,"01002","22.03.2020 00:00"
"15",163414,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,163414,2020-03-16 01:00:00,"01002","22.03.2020 00:00"
"16",163415,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,163415,2020-03-18 01:00:00,"01002","22.03.2020 00:00"
"17",163416,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,163416,2020-03-20 01:00:00,"01002","22.03.2020 00:00"
"18",163417,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,163417,2020-03-21 01:00:00,"01002","22.03.2020 00:00"
"19",163418,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",1,0,163418,2020-03-10 01:00:00,"01002","22.03.2020 00:00"
