"","id","IdBundesland","Bundesland","Landkreis","Altersgruppe","Geschlecht","AnzahlFall","AnzahlTodesfall","ObjectId","Meldedatum","IdLandkreis","Datenstand","NeuerFall","NeuerTodesfall"
"1",195068,1,"Schleswig-Holstein","SK Flensburg","A15-A34","M",1,0,195068,2020-03-14 01:00:00,"01001","24.03.2020 00:00",0,0
"2",195069,1,"Schleswig-Holstein","SK Flensburg","A15-A34","M",2,0,195069,2020-03-19 01:00:00,"01001","24.03.2020 00:00",0,0
"3",195070,1,"Schleswig-Holstein","SK Flensburg","A15-A34","M",1,0,195070,2020-03-21 01:00:00,"01001","24.03.2020 00:00",0,0
"4",195071,1,"Schleswig-Holstein","SK Flensburg","A15-A34","W",1,0,195071,2020-03-14 01:00:00,"01001","24.03.2020 00:00",0,0
"5",195072,1,"Schleswig-Holstein","SK Flensburg","A15-A34","W",2,0,195072,2020-03-18 01:00:00,"01001","24.03.2020 00:00",0,0
"6",195073,1,"Schleswig-Holstein","SK Flensburg","A35-A59","M",1,0,195073,2020-03-14 01:00:00,"01001","24.03.2020 00:00",0,0
"7",195074,1,"Schleswig-Holstein","SK Flensburg","A35-A59","M",1,0,195074,2020-03-20 01:00:00,"01001","24.03.2020 00:00",0,0
"8",195075,1,"Schleswig-Holstein","SK Flensburg","A35-A59","W",1,0,195075,2020-03-14 01:00:00,"01001","24.03.2020 00:00",0,0
"9",195076,1,"Schleswig-Holstein","SK Flensburg","A35-A59","W",2,0,195076,2020-03-19 01:00:00,"01001","24.03.2020 00:00",0,0
"10",195077,1,"Schleswig-Holstein","SK Flensburg","A35-A59","W",1,0,195077,2020-03-20 01:00:00,"01001","24.03.2020 00:00",0,0
"11",195078,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,195078,2020-03-10 01:00:00,"01002","24.03.2020 00:00",0,0
"12",195079,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",2,0,195079,2020-03-11 01:00:00,"01002","24.03.2020 00:00",0,0
"13",195080,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,195080,2020-03-13 01:00:00,"01002","24.03.2020 00:00",0,0
"14",195081,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,195081,2020-03-14 01:00:00,"01002","24.03.2020 00:00",0,0
"15",195082,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,195082,2020-03-16 01:00:00,"01002","24.03.2020 00:00",0,0
"16",195083,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,195083,2020-03-18 01:00:00,"01002","24.03.2020 00:00",0,0
"17",195084,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,195084,2020-03-20 01:00:00,"01002","24.03.2020 00:00",0,0
"18",195085,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,195085,2020-03-21 01:00:00,"01002","24.03.2020 00:00",0,0
"19",195086,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",2,0,195086,2020-03-23 01:00:00,"01002","24.03.2020 00:00",1,0
"20",195087,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",1,0,195087,2020-03-10 01:00:00,"01002","24.03.2020 00:00",0,0
"21",195088,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",1,0,195088,2020-03-12 01:00:00,"01002","24.03.2020 00:00",0,0
"22",195089,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",3,0,195089,2020-03-16 01:00:00,"01002","24.03.2020 00:00",0,0
"23",195090,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",1,0,195090,2020-03-17 01:00:00,"01002","24.03.2020 00:00",0,0
"24",195091,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",2,0,195091,2020-03-18 01:00:00,"01002","24.03.2020 00:00",0,0
"25",195092,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",3,0,195092,2020-03-19 01:00:00,"01002","24.03.2020 00:00",0,0
"26",195093,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",1,0,195093,2020-03-20 01:00:00,"01002","24.03.2020 00:00",0,0
"27",195094,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",1,0,195094,2020-03-22 01:00:00,"01002","24.03.2020 00:00",0,0
"28",195095,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",3,0,195095,2020-03-23 01:00:00,"01002","24.03.2020 00:00",1,0
"29",195096,1,"Schleswig-Holstein","SK Kiel","A35-A59","M",1,0,195096,2020-03-11 01:00:00,"01002","24.03.2020 00:00",0,0
"30",195097,1,"Schleswig-Holstein","SK Kiel","A35-A59","M",1,0,195097,2020-03-12 01:00:00,"01002","24.03.2020 00:00",0,0
"31",195098,1,"Schleswig-Holstein","SK Kiel","A35-A59","M",3,0,195098,2020-03-19 01:00:00,"01002","24.03.2020 00:00",0,0
"32",195099,1,"Schleswig-Holstein","SK Kiel","A35-A59","M",1,0,195099,2020-03-21 01:00:00,"01002","24.03.2020 00:00",0,0
"33",195100,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",1,0,195100,2020-03-10 01:00:00,"01002","24.03.2020 00:00",0,0
"34",195101,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",1,0,195101,2020-03-11 01:00:00,"01002","24.03.2020 00:00",0,0
"35",195102,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",2,0,195102,2020-03-12 01:00:00,"01002","24.03.2020 00:00",0,0
"36",195103,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",1,0,195103,2020-03-16 01:00:00,"01002","24.03.2020 00:00",0,0
"37",195104,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",1,0,195104,2020-03-17 01:00:00,"01002","24.03.2020 00:00",0,0
"38",195105,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",1,0,195105,2020-03-18 01:00:00,"01002","24.03.2020 00:00",0,0
"39",195106,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",2,0,195106,2020-03-19 01:00:00,"01002","24.03.2020 00:00",0,0
"40",195107,1,"Schleswig-Holstein","SK Kiel","A35-A59","W",1,0,195107,2020-03-23 01:00:00,"01002","24.03.2020 00:00",1,0
"41",195108,1,"Schleswig-Holstein","SK Kiel","A60-A79","M",1,0,195108,2020-03-19 01:00:00,"01002","24.03.2020 00:00",0,0
"42",195109,1,"Schleswig-Holstein","SK Kiel","A60-A79","M",1,0,195109,2020-03-20 01:00:00,"01002","24.03.2020 00:00",0,0
"43",195110,1,"Schleswig-Holstein","SK Kiel","A60-A79","M",1,0,195110,2020-03-22 01:00:00,"01002","24.03.2020 00:00",0,0
"44",195111,1,"Schleswig-Holstein","SK Kiel","A60-A79","M",1,1,195111,2020-03-23 01:00:00,"01002","24.03.2020 00:00",1,1
"45",195112,1,"Schleswig-Holstein","SK Kiel","A60-A79","W",1,0,195112,2020-03-18 01:00:00,"01002","24.03.2020 00:00",0,0
"46",195113,1,"Schleswig-Holstein","SK Kiel","A60-A79","W",2,0,195113,2020-03-23 01:00:00,"01002","24.03.2020 00:00",1,0
"47",195114,1,"Schleswig-Holstein","SK Kiel","A80+","W",2,0,195114,2020-03-23 01:00:00,"01002","24.03.2020 00:00",1,0
"48",195115,1,"Schleswig-Holstein","SK Lübeck","A00-A04","M",1,0,195115,2020-03-23 01:00:00,"01003","24.03.2020 00:00",1,0
"49",195116,1,"Schleswig-Holstein","SK Lübeck","A15-A34","M",1,0,195116,2020-03-11 01:00:00,"01003","24.03.2020 00:00",0,0
"50",195117,1,"Schleswig-Holstein","SK Lübeck","A15-A34","M",1,0,195117,2020-03-18 01:00:00,"01003","24.03.2020 00:00",0,0
"51",195118,1,"Schleswig-Holstein","SK Lübeck","A15-A34","M",1,0,195118,2020-03-19 01:00:00,"01003","24.03.2020 00:00",0,0
"52",195119,1,"Schleswig-Holstein","SK Lübeck","A15-A34","M",1,0,195119,2020-03-20 01:00:00,"01003","24.03.2020 00:00",0,0
"53",195120,1,"Schleswig-Holstein","SK Lübeck","A15-A34","M",1,0,195120,2020-03-23 01:00:00,"01003","24.03.2020 00:00",1,0
