gem,RegioStaRGem7
1001000,74
1002000,72
1003000,72
1004000,74
1051001,77
1051002,77
1051003,77
1051004,77
1051005,77
1051006,77
1051008,77
1051010,77
1051011,76
1051012,77
1051013,77
1051014,77
1051015,77
1051016,77
1051017,77
1051019,77
1051020,77
1051021,77
1051022,77
1051023,77
1051024,77
1051026,77
1051027,77
1051028,77
1051030,77
1051032,77
1051033,77
1051034,77
1051035,77
1051036,77
1051037,77
1051038,77
1051039,77
1051043,77
1051044,75
1051045,77
1051046,77
1051047,77
1051048,77
1051049,77
1051050,77
1051051,77
1051052,77
1051053,77
1051054,77
1051057,77
1051058,77
1051060,77
1051061,77
1051062,77
1051063,77
1051064,77
1051065,77
1051067,77
1051068,77
1051069,77
1051071,77
1051072,77
1051073,77
1051074,77
1051075,77
1051076,77
1051077,77
1051078,77
1051079,77
1051080,77
1051081,77
1051082,77
1051083,77
1051084,77
1051085,77
1051086,77
1051087,77
1051088,77
1051089,77
1051090,77
1051092,77
1051093,77
1051096,77
1051097,77
1051098,77
1051099,77
1051100,77
1051102,77
1051103,77
1051104,77
1051105,77
1051107,77
1051108,77
1051109,77
1051110,77
1051113,77
1051114,77
1051117,77
1051118,77
1051119,77
1051120,77
1051121,77
1051122,77
1051125,77
1051126,77
1051127,77
1051128,77
1051129,77
1051130,77
1051131,77
1051132,77
1051133,77
1051134,77
1051135,77
1051136,77
1051137,77
1051138,77
1051139,77
1051140,77
1051141,77
1053001,77
1053002,77
1053003,77
1053004,77
1053005,77
1053006,77
1053007,77
1053008,77
1053009,77
1053010,77
1053011,77
1053012,77
1053013,77
1053014,77
1053015,77
1053016,77
1053017,77
1053018,77
1053019,77
1053020,77
1053021,77
1053022,77
1053023,77
1053024,77
1053025,77
1053026,77
1053027,77
1053028,77
1053029,77
1053030,77
1053031,77
1053032,75
1053033,77
1053034,77
1053035,77
1053036,77
1053037,77
1053038,77
1053039,77
1053040,77
1053041,77
1053042,77
1053043,77
1053044,77
1053045,77
1053046,77
1053047,77
1053048,77
1053049,77
1053050,77
1053051,77
1053052,77
1053053,77
1053054,77
1053056,77
1053057,77
1053058,77
1053059,77
1053060,77
1053061,77
1053062,77
1053064,77
1053066,77
1053067,77
1053068,77
1053069,77
1053070,77
1053071,77
1053072,77
1053073,77
1053074,77
1053075,77
1053076,77
1053077,77
1053078,77
1053079,77
1053080,77
1053081,77
1053082,77
1053083,76
1053084,77
1053085,77
1053086,77
1053087,77
1053088,77
1053089,77
1053090,76
1053091,77
1053092,77
1053093,77
1053094,77
1053095,77
1053096,77
1053097,77
1053098,77
1053099,77
1053100,76
1053101,77
1053102,77
1053103,77
1053104,77
1053105,77
1053106,77
1053107,77
1053108,77
1053109,77
1053110,77
1053111,77
1053112,77
1053113,77
1053114,77
1053115,77
1053116,76
1053117,77
1053118,77
1053119,77
1053120,77
1053121,77
1053122,77
1053123,77
1053124,77
1053125,77
1053126,77
1053127,77
1053128,77
1053129,76
1053130,77
1053131,77
1053132,77
1053133,77
1053134,77
1053135,77
1053136,77
1054001,77
1054002,77
1054003,77
1054004,77
1054005,77
1054006,77
1054007,77
1054009,77
1054010,77
1054011,77
1054012,77
1054013,77
1054014,77
1054015,77
1054016,77
1054017,77
1054018,77
1054019,77
1054020,77
1054022,77
1054023,77
1054024,77
1054025,77
1054026,77
1054027,77
1054032,77
1054033,77
1054034,77
1054035,77
1054036,77
1054037,77
1054038,77
1054039,77
1054040,77
1054041,77
1054042,77
1054043,77
1054045,77
1054046,77
1054048,77
1054050,77
1054052,77
1054054,77
1054055,77
1054056,75
1054057,77
1054059,77
1054061,77
1054062,77
1054063,77
1054065,77
1054068,77
1054070,77
1054071,77
